epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9779,0.96161,1.39882,2.04271,1.04626,0,0.96271,0.81958,0.98371,0.7087,0.96271,0.81958,0.98371,0.83893,0.94582,0.59053,2.9564,0.85406,0,0.000650794,0.000650794,0.000650794
2,62.1446,0.75652,0.81151,1.2171,0.91745,0,0.96607,1,0.99392,0.76129,0.96607,1,0.99392,0.84189,0.77898,0.9246,1.8073,0.81018,0,0.00130442,0.00130442,0.00130442
3,93.6854,0.7444,0.82141,1.02047,0.90443,0,0.92268,1,0.97137,0.78368,0.92268,1,0.97137,0.78568,0.75477,1.23804,1.37878,0.85204,0,0.00194484,0.00194484,0.00194484
4,123.179,0.747,0.79863,0.90069,0.92974,0,0.97945,1,0.99063,0.83212,0.97945,1,0.99063,0.88357,0.62376,0.44067,0.99774,0.83583,0,0.0019406,0.0019406,0.0019406
5,152.7,0.72078,0.71027,0.79205,0.90983,0,0.97884,1,0.98469,0.76906,0.97884,1,0.98469,0.86061,0.69503,0.45101,0.9723,0.84506,0,0.0019208,0.0019208,0.0019208
6,181.008,0.66989,0.65244,0.70176,0.90011,0,0.95292,0.98413,0.97825,0.83164,0.95292,0.98413,0.97825,0.90385,0.58356,0.55437,0.85514,0.81807,0,0.001901,0.001901,0.001901
7,210.057,0.69244,0.68048,0.67346,0.91261,0,0.94847,1,0.98463,0.8307,0.94847,1,0.98463,0.87306,0.61071,0.51391,0.76742,0.81172,0,0.0018812,0.0018812,0.0018812
8,243.025,0.62863,0.68518,0.60505,0.89998,0,0.97923,1,0.98125,0.83712,0.97923,1,0.98125,0.89645,0.55474,0.50098,0.71445,0.81491,0,0.0018614,0.0018614,0.0018614
9,270.979,0.61751,0.68376,0.56055,0.88969,0,0.9806,1,0.98469,0.89513,0.9806,1,0.98469,0.88872,0.50161,0.47766,0.61093,0.804,0,0.0018416,0.0018416,0.0018416
10,300.904,0.59341,0.67045,0.53882,0.89206,0,0.98152,1,0.98484,0.89816,0.98152,1,0.98484,0.91388,0.49756,0.4545,0.52749,0.80266,0,0.0018218,0.0018218,0.0018218
11,330.299,0.5952,0.74217,0.53182,0.89998,0,0.97513,0.98413,0.98326,0.86066,0.97513,0.98413,0.98326,0.89578,0.50773,0.47806,0.602,0.80335,0,0.001802,0.001802,0.001802
12,358.097,0.56946,0.60046,0.49822,0.88727,0,0.98119,1,0.98125,0.87572,0.98119,1,0.98125,0.90424,0.48019,0.44017,0.47844,0.80439,0,0.0017822,0.0017822,0.0017822
13,385.256,0.57483,0.68057,0.51105,0.88557,0,0.98232,1,0.98125,0.89234,0.98232,1,0.98125,0.89577,0.45712,0.49561,0.43743,0.79352,0,0.0017624,0.0017624,0.0017624
14,413.981,0.56036,0.63692,0.48588,0.88299,0,0.98216,1,0.98359,0.87237,0.98216,1,0.98359,0.89581,0.54481,0.43782,0.54809,0.81232,0,0.0017426,0.0017426,0.0017426
15,442.929,0.52498,0.62399,0.4754,0.87236,0,0.98029,1,0.98,0.87845,0.98029,1,0.98,0.91013,0.49615,0.4473,0.4923,0.80048,0,0.0017228,0.0017228,0.0017228
16,471.38,0.52714,0.60437,0.46036,0.87794,0,0.98144,1,0.98141,0.89926,0.98144,1,0.98141,0.90962,0.472,0.47126,0.45766,0.80181,0,0.001703,0.001703,0.001703
17,500.11,0.51124,0.57223,0.45691,0.84694,0,0.98255,1,0.98219,0.91354,0.98255,1,0.98219,0.89816,0.417,0.4362,0.43644,0.77786,0,0.0016832,0.0016832,0.0016832
18,528.105,0.5223,0.61847,0.43551,0.86654,0,0.96907,0.99454,0.96827,0.86314,0.96907,0.99454,0.96827,0.90521,0.48274,0.41739,0.45197,0.82033,0,0.0016634,0.0016634,0.0016634
19,555.145,0.52695,0.59937,0.45031,0.8792,0,0.97956,1,0.98781,0.91173,0.97956,1,0.98781,0.93336,0.39564,0.40351,0.39427,0.79047,0,0.0016436,0.0016436,0.0016436
20,583.627,0.52369,0.59215,0.4226,0.8759,0,0.98207,1,0.98516,0.90733,0.98207,1,0.98516,0.93346,0.40862,0.39903,0.40366,0.79306,0,0.0016238,0.0016238,0.0016238
21,611.42,0.50313,0.55945,0.41785,0.87168,0,0.9833,1,0.98344,0.90783,0.9833,1,0.98344,0.92385,0.4307,0.41917,0.37828,0.79983,0,0.001604,0.001604,0.001604
22,639.606,0.52182,0.59866,0.42198,0.87992,0,0.98292,1,0.98297,0.89196,0.98292,1,0.98297,0.90854,0.4811,0.41326,0.38787,0.80644,0,0.0015842,0.0015842,0.0015842
23,667.49,0.48841,0.60975,0.40572,0.86681,0,0.97911,1,0.98125,0.89966,0.97911,1,0.98125,0.92773,0.41007,0.36982,0.38453,0.7891,0,0.0015644,0.0015644,0.0015644
24,696.229,0.48638,0.55518,0.40006,0.86903,0,0.98163,1,0.98313,0.90959,0.98163,1,0.98313,0.91717,0.39124,0.40598,0.34961,0.78133,0,0.0015446,0.0015446,0.0015446
